DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"239.50","239.50","232.00","237.10","233.70","234.05","234.58","376.95","135.49",293748,"6,89,07,022.35",4484
11-Feb-2026,EQ,"242.00","243.00","234.60","242.25","236.50","237.10","236.99","376.95","135.49",442510,"10,48,68,344.65",7607
10-Feb-2026,EQ,"241.45","244.85","240.10","241.55","242.80","242.25","242.57","376.95","135.49",329368,"7,98,94,615.00",6777
09-Feb-2026,EQ,"235.10","244.70","234.05","232.60","243.00","241.55","240.60","376.95","135.49",816886,"19,65,45,309.05",12323
06-Feb-2026,EQ,"241.75","241.75","230.95","241.95","232.85","232.60","234.62","376.95","135.49",723097,"16,96,54,644.50",13896
05-Feb-2026,EQ,"250.00","255.80","237.30","262.55","241.35","241.95","243.42","376.95","135.49",2058306,"50,10,31,120.05",25120
04-Feb-2026,EQ,"251.95","265.00","249.00","250.30","262.50","262.55","258.45","376.95","135.49",951299,"24,58,67,259.70",16583
03-Feb-2026,EQ,"254.00","254.00","243.65","241.00","250.00","250.30","249.11","376.95","135.49",703154,"17,51,60,404.10",14111
02-Feb-2026,EQ,"243.30","244.00","226.60","243.10","239.10","241.00","235.10","376.95","135.49",862364,"20,27,39,591.75",16298
01-Feb-2026,EQ,"253.15","256.35","236.65","253.15","243.30","243.10","247.12","376.95","135.49",434015,"10,72,55,410.35",9557
30-Jan-2026,EQ,"248.80","255.70","244.30","250.10","252.00","253.15","251.31","376.95","135.49",652130,"16,38,83,610.60",11107
29-Jan-2026,EQ,"262.95","263.95","245.75","259.90","250.00","250.10","252.15","376.95","135.49",612185,"15,43,65,164.95",10134
28-Jan-2026,EQ,"253.70","264.55","247.85","251.90","263.10","259.90","254.32","376.95","135.49",766360,"19,49,01,452.10",11777
27-Jan-2026,EQ,"258.15","259.45","247.00","260.85","254.15","251.90","252.23","376.95","135.49",716751,"18,07,84,520.60",11506
23-Jan-2026,EQ,"271.95","271.95","254.10","270.25","256.70","260.85","264.99","376.95","135.49",777595,"20,60,51,778.85",12994
22-Jan-2026,EQ,"260.25","271.85","260.25","257.00","268.55","270.25","267.34","376.95","135.49",570654,"15,25,56,759.00",10748
21-Jan-2026,EQ,"259.95","263.80","254.05","261.70","257.75","257.00","259.12","376.95","135.49",544975,"14,12,12,996.75",10961
20-Jan-2026,EQ,"270.05","272.45","260.00","269.45","263.30","261.70","266.28","376.95","135.49",593215,"15,79,59,744.35",10992
19-Jan-2026,EQ,"270.00","272.90","267.35","270.45","268.15","269.45","270.43","376.95","135.49",395522,"10,69,60,513.10",7813
16-Jan-2026,EQ,"274.45","276.80","269.30","274.45","270.70","270.45","272.53","376.95","135.49",395506,"10,77,87,984.65",7905
14-Jan-2026,EQ,"275.10","277.00","269.25","273.75","273.90","274.45","273.38","376.95","135.49",443380,"12,12,13,073.05",7907
13-Jan-2026,EQ,"274.95","285.95","270.30","274.55","274.95","273.75","276.81","376.95","135.49",872103,"24,14,10,616.10",19362
12-Jan-2026,EQ,"270.45","280.00","261.80","270.45","276.00","274.55","269.06","376.95","135.49",983021,"26,44,93,241.30",21759
09-Jan-2026,EQ,"281.00","281.90","267.10","280.30","271.90","270.45","272.93","376.95","135.49",1006466,"27,46,92,134.75",23325
08-Jan-2026,EQ,"294.50","295.75","276.20","294.25","281.00","280.30","284.46","376.95","135.49",577128,"16,41,71,069.20",13125
07-Jan-2026,EQ,"288.70","295.70","288.70","294.90","294.50","294.25","292.69","376.95","135.49",315520,"9,23,49,355.65",9386
